RXN,MIN,MAX,DIFF,diff proportion,function shape,rank
CITRA_SYN,0.0002492753,0.005008558,0.0047592827,1.8103589297,decreasing,1
GLT,0.0004372625,0.0032516269,0.0028143645,1.5258600444,increasing,2
LPD,0.0004675348,0.0029031339,0.0024355991,1.4451726415,decreasing,3
GROWTH,0.0005815675,0.0021012211,0.0015196535,1.1328909947,increasing,4
ATP_MAINTENANCE,0.000783031,0.0021143391,0.0013313081,0.9189768772,decreasing,5
GDH,0.0005736582,0.0014851105,0.0009114522,0.8854343527,decreasing,6
ATP_syn,0.0008546461,0.0016157533,0.0007611072,0.6161815337,decreasing,7
ACEA,0.0007662481,0.0015174327,0.0007511846,0.6578718126,decreasing,8
PYK,0.0008303666,0.001567618,0.0007372515,0.6148925718,decreasing,9
ZWF,0.0009317425,0.0012519904,0.0003202479,0.2933031732,decreasing,10
NDHII,0.0009986388,0.0012572141,0.0002585753,0.2292483949,decreasing,11
MQO,0.0009957593,0.0012225487,0.0002267894,0.2044706312,increasing,12
NADH_req,0.001020875,0.0012462203,0.0002253453,0.1987965046,increasing,13
MDH,0.0009961368,0.001221455,0.0002253183,0.2032098532,decreasing,14
MAD,0.0009901591,0.00118488,0.000194721,0.1790505533,decreasing,15
PGI,0.0010407794,0.0011606259,0.0001198466,0.1088818714,increasing,16
PCK,0.0010820421,0.0011850859,0.0001030438,0.0909024892,decreasing,17
PPC,0.0010760946,0.0011759609,9.98662735514203E-05,0.0886889978,increasing,18
ACEB,0.0010949676,0.0011739985,7.90308554654898E-05,0.0696624375,decreasing,19
PDH,0.001082933,0.0011554421,7.25091053451472E-05,0.0647872693,decreasing,20
ENO,0.0011044546,0.0011569516,0.000052497,0.0464286693,decreasing,21
CYTBO,0.0010960428,0.0011361732,4.01304504630247E-05,0.0359557051,increase then decrease,22
PFK,0.0010957825,0.0011250606,0.000029278,0.0263665834,increase then decrease,23
SDH,0.0011145898,0.0011380709,2.34810929815527E-05,0.0208474307,decreasing,24
GPM,0.0011164188,0.0011343267,0.000017908,0.0159129085,decreasing,25
RPI,0.0011117584,0.0011275053,1.57468888476676E-05,0.0140643451,increasing,26
RPE,0.0011183427,0.0011300614,1.17187158724425E-05,0.0104240302,decreasing,27
GND,0.0011175295,0.0011253266,7.7970772124512E-06,0.0069528107,increasing,28
FBA,0.0011183867,0.0011241734,5.78669223682236E-06,0.0051607912,increasing,29
PIT,0.0011194257,0.0011236855,4.2598627200143E-06,0.0037981735,increasing,30
XCH_GLC,0.001120705,0.0011230095,2.30450409889268E-06,0.0020541865,increasing,31
EDD,0.0011213272,0.0011227814,1.45414534944354E-06,0.001295967,decreasing,32
TPI,0.0011214976,0.0011226355,1.13784049543585E-06,0.0010140579,increasing,33
ACK,0.0011218809,0.0011224748,5.9384816856003E-07,0.0005291926,decreasing,34
SQR,0.0011221697,0.0011224461,2.76393130356403E-07,0.0002462721,decreasing,35
ACN_1,0.0011221503,0.0011223133,0.000000163,0.0001452088,increasing,36
ACN_2,0.0011221693,0.0011223036,1.34302723317709E-07,0.0001196742,increasing,37
PGL,0.0011221803,0.0011222984,1.18091121640955E-07,0.0001052281,increasing,38
EDA,0.0011222252,0.0011223385,1.13285023008386E-07,0.0001009417,decreasing,39
FBP,0.0011222163,0.0011222807,6.4369739164339E-08,5.73578302264899E-05,decreasing,40
PTA,0.0011222378,0.0011222968,0.000000059,5.26036507806597E-05,decreasing,41
PPS,0.0011222475,0.0011222825,3.50591144481546E-08,3.12396037764296E-05,increasing,42
FUMA,0.0011222487,0.0011222644,1.57341325584745E-08,1.40200852735971E-05,increasing,43
PGK,0.0011222552,0.0011222676,1.23830399983461E-08,0.000011034,decreasing,44
ACS,0.001122257,0.0011222604,3.41921927208243E-09,3.04672992743602E-06,jagged,45
SK,0.0011222584,0.0011222609,2.53497706831883E-09,2.25881515949226E-06,decreasing,46
XCH_ACE1,0.0011222589,0.0011222593,3.6139094993469E-10,0.000000322,jagged,47
XCH_P,0.0011222591,0.0011222592,1.30011316599662E-10,1.15847854255289E-07,jagged,48
XCH_ACE2,0.0011222591,0.0011222592,1.15399255906298E-10,1.02827632951049E-07,jagged,49
