Reaction,LowerBound,UpperBound
DM_AMOB,-9.72E-15,1.33E-08
DM_MTHTHF,-1.63E-13,6.09E-02
EX_ac_LPAREN_e_RPAREN_,-1.35E-15,3.12E-11
EX_o2_LPAREN_e_RPAREN_,-2.51E+02,3.42E-13
3OAR60,-5.60E-29,2.03E-01
3OAR80,-5.60E-29,2.03E-01
3OAS121,-3.30E-29,3.69E-01
3OAS161,-3.94E-31,6.47E-01
AACPS8,-1.26E-29,3.35E+00
AADDGT,-1.58E-30,1.74E-02
ACCOAL,-8.27E-25,1.00E+03
ACGAMT,-7.02E-25,1.74E-02
ACKr,-7.03E-02,4.27E-16
ACLS,-3.28E-17,2.30E-01
ACOAD8f,-3.34E-19,6.47E-01
ACOLIPAabctex,-6.94E-30,4.85E-03
ACONTb,-8.48E-16,3.02E-01
ACOTA,-9.57E-02,2.58E-13
ACS,-1.98E-12,9.57E-02
ACt2rpp,-3.12E-11,1.35E-15
ACtex,-3.12E-11,1.35E-15
ADNCYC,-1.87E-32,8.80E-03
AICART,-5.55E-17,3.44E-01
AIRC2,-5.55E-17,3.44E-01
AKGDH,-1.06E-12,2.16E-01
ALAALAr,-1.80E-29,3.35E+00
ALAR,-2.53E-17,2.26E+00
ALLTAMH,-8.91E-14,3.44E-01
ALLTN,-8.91E-14,3.44E-01
AMPMS2,-1.74E-15,4.67E-06
ANHGMtex,-6.47E-02,1.61E-13
CS,-2.60E-12,3.46E-01
CSND,-9.24E-16,1.12E+00
CYTBO3_4pp,-6.85E-13,1.04E+00
DBTS,-1.14E-13,4.18E-08
DDPA,-2.42E-13,7.15E-02
DHFR,-1.83E-13,2.63E-01
DHPTDCs2,-1.52E-14,6.09E-02
DHQS,-5.53E-15,7.15E-02
DPCOAK,-8.94E-14,1.21E-05
DPR,-8.94E-14,1.21E-05
EDA,-2.47E-23,1.53E-01
EDD,-2.47E-23,1.53E-01
ENO,-5.60E-19,4.58E-01
FBA,-1.13E-22,2.29E-01
FBP,-1.10E-24,7.01E-03
FESD1s,-7.71E-17,1.26E+00
FUM,-1.74E-12,2.93E-01
G3PD2,-2.38E+00,2.96E-31
G6PDH2r,-9.88E-22,2.20E-01
GAPD,-1.37E-14,4.58E-01
GF6PTA,-2.36E-16,3.35E+00
GLCtexi,-1.80E-09,2.29E-01
GLUPRT,-1.04E-15,3.44E-01
GND,-8.19E-07,2.02E-01
HEXt2rpp,-3.38E+00,9.33E-13
I4FE4ST,-1.11E-22,5.25E-06
ICDHyr,-2.40E-12,2.18E-01
ICHORT,-7.78E-22,7.15E-02
ICL,-8.01E-13,2.62E-01
IMPC,-3.44E-01,2.67E-18
IPPS,-8.04E-18,1.78E-01
KARA1,-2.30E-01,4.60E-17
KDOCT2,-1.39E-27,1.94E-02
KDOPP,-1.39E-27,1.94E-02
KDOPS,-1.39E-27,1.94E-02
LEUt2rpp,-3.43E+00,1.69E-16
LEUtex,-1.78E-01,1.69E-16
LIPAabcpp,-4.16E-17,9.69E-03
LIPAabctex,-4.16E-17,9.69E-03
LPADSS,-7.43E-28,9.70E-03
LPLIPAL1A120pp,-8.97E-44,5.61E-01
LPLIPAL1E141pp,-2.08E-29,4.17E-01
LPLIPAL2A120,-1.02E-16,8.30E-01
MALS,-3.68E-16,3.20E-01
MDH,-2.26E+00,4.53E-15
MDH2,-2.33E-16,2.76E+00
ME1,-4.44E-16,5.24E-01
METS,-3.90E-11,4.79E-02
MLDCP3App,-7.24E-15,5.36E-02
MOHMT,-5.55E-17,1.21E-05
NADH16pp,-9.86E-14,6.27E-01
NADH5,-1.05E-11,9.19E-01
NADTRHD,-3.14E-08,5.68E-01
NH4tex,-5.47E-13,1.21E+00
NH4tpp,-1.57E-12,3.44E+00
NTD4,-8.33E-17,3.35E+00
O2tex,-3.42E-13,2.51E+02
O2tpp,-3.42E-13,1.38E+00
OHPBAT,-1.88E-34,4.67E-06
OMCDC,-3.79E-31,1.78E-01
OMPDC,-2.78E-31,4.18E-01
OPHBDC,-3.46E-31,4.67E-06
OPMEACPD,-3.99E-28,4.18E-08
OPMEACPR,-3.99E-28,4.18E-08
OPMEACPS,-3.99E-28,4.18E-08
PDE1,-1.87E-32,8.80E-03
PDH,-1.20E-13,6.27E-01
PFK,-2.72E-09,2.29E-01
PGK,-4.58E-01,2.89E-17
PGL,-9.88E-22,2.20E-01
PGM,-4.58E-01,2.00E-19
PGSA140,-1.74E-24,6.73E-01
PGSA141,-6.85E-30,6.73E-01
PLIPA2G141pp,-3.60E-29,4.21E-01
PLIPA2G181pp,-1.06E-29,4.21E-01
PNTK,-2.78E-17,1.21E-05
PPC,-8.35E-20,1.31E+00
PPS,-9.42E-17,5.84E-04
PTAr,-4.27E-16,7.03E-02
PUNP6,-2.53E-24,5.76E-01
PYDAMK,-1.63E-24,3.35E+00
PYK,-7.09E-19,4.64E-01
RPI,-6.09E-02,4.71E-07
S2FE2SS,-1.60E-08,5.75E-06
S2FE2SS2,-1.65E-24,5.25E-06
S4FE4ST,-4.24E-22,5.25E-06
SADT2,-1.97E-18,4.61E-01
SUCDi,-5.21E-14,2.88E-01
SUCOAS,-2.63E-01,5.28E-09
TKT1,-4.71E-07,6.09E-02
TMDPP,-6.79E-10,2.63E-01
TMPK,-7.28E-14,3.35E+00
TPI,-3.00E-22,2.29E-01
UACMAMO,-2.35E-29,1.74E-02
UAG2E,-2.35E-29,1.74E-02
UAGAAT,-3.16E-30,1.94E-02
UPPDC1,-5.90E-17,2.72E-02
UREAtex,-9.57E-02,4.85E-27
UREAtpp,-9.57E-02,4.85E-27
