stoichiometric_name,stoichiometric_minflux,stoichiometric_maxflux
PGI,-1.48482643476845E-13,0.002044105163556
PFK,-1.35041226140518E-14,0.00226479041117
FBA,-1.10586450771329E-13,0.002264787942498
TPI,-1.0231862105142E-13,0.002264787942499
GAPD,-1.64792372566657E-13,0.004652787942548
PGK,-0.004652787942508,2.34196467590857E-13
PGM,-0.004652787942397,1.97213720961944E-13
ENO,-1.97377191722097E-13,0.004652787942312
PYK,-5.4140241048823E-16,4.4592394138329E-07
G6PDH2r,-2.1535836408158E-14,0.000351077560824
PGL,-2.15301577000062E-14,0.000351077444304
GND,-2.12552721849845E-14,0.000337937323201
RPE,-1.15879705644942E-14,0.00022529154936
RPI,-0.000112645773842,6.80329320465135E-15
FBP,-2.09E-20,2.47522840020247E-09
PPC,-6.49E-18,2.01733250453678E-05
PPCK,-0.00225702968869,6.0974329594301E-14
PPS,-9.16E-17,4.17E-07
ME1,-7.35E-13,0.002265068600012
PDH,-2.98209426606279E-13,0.002332853942772
CS,-6.35265959002585E-16,4.08310020307927E-08
ACONTa,-1.03118479120198E-12,4.08310020307618E-08
ACONTb,-1.43167712683048E-12,4.08310020307536E-08
ICDHyr,-8.85093686448003E-10,3.73761751927641E-08
AKGDH,-1.41E-11,3.73761751921045E-08
SUCOAS,-3.73761751891862E-08,4.79316342125666E-10
SUCDi,-7.52516643607773E-13,4.08310020281415E-08
FUM,-7.42381269183049E-13,4.08310015011702E-08
MDH2,-9.70252640894512E-14,0.000399129400572
MDH,-0.002664153714759,2.27176765304053E-13
ICL,-4.7813377466442E-12,3.45482683794567E-09
MALS,-4.15149067733161E-17,3.45482681760735E-09
EDD,-5.56810780637042E-16,1.31402374868657E-05
EDA,-5.35941292815105E-16,1.31402374857809E-05
NADH16pp,-1.15463792425962E-11,0.004229017996701
NADTRHD,-1.40778421413995E-11,0.00068905222461
ADK1,-2.23715647504571E-05,0.001080055359986
ATPS4rpp,2.65329522056476E-06,0.011900108183079
ADNCYC,-4.10E-16,0.001057662616716
PDE4,-3.40E-08,0.001057662388792
ACKr,-2.19813566658323E-05,2.83008338319277E-16
ACS,-2.89437281244718E-13,2.19798216497186E-05
PTAr,-4.72880445179669E-16,2.19813566658471E-05
GLCptspp,9.29668251857918E-48,0.002388000023434
EX_glc_LPAREN_e_RPAREN_,-0.002388,-0.002388
CYTBO3_4pp,-1.20897257926535E-11,0.003835545080315
NADH5,-1.54481181777188E-11,5.70E-03
ATPM,-0.00094414557442,0.012835142114956
GLCtex,5.95510514448449E-06,0.002388000000063
PIt2rpp,-4.75211673765332E-05,3.41525694599887E-11
PItex,-4.752370222965E-05,3.42E-11
ACt2rpp,-4.39E-13,1.54E-09
EX_ac_LPAREN_e_RPAREN_,-5.03E-16,1.54E-09
ACtex,-1.53501611138249E-09,4.37900115891748E-13
TKT1,-6.06245282803528E-15,0.000112645768912
TKT2,-2.38706066679148E-13,0.000112645760854
TALA,-4.16877277390655E-15,0.000112645772703
