Reaction rates (wt)
PGI : 0.168301020397
PFK : 0.18424019579
FBA : 0.184124766987
TPI : 0.184124766987
GDH : 0.388254346568
PGK : 0.388254346567
GPM : 0.364998489916
ENO : 0.364998489916
PYK : 0.15811341733
ZWF : 0.0585064596366
PGL : 0.0585064284259
GND : 0.0421476531395
RPE : 0.0169246155436
RPI : 0.0252230375958
X5P_GAP_TKT : 0.0169246155436
F6P_E4P_TKT : 0.00565509193922
S7P_R5P_TKT : 0.0112695236045
F6P_GAP_TAL : 0.0112695236045
S7P_E4P_TAL : 0.0112695236044
FBP : 0.000115428803638
PPC : 0.0794229678663
PCK : 0.11058670264
PPS : 1.50577279636e-05
MAD : 0.0221669382077
PDH : 0.382561824425
GLT : 0.2263539115
ACN_1 : 0.226353911499
ACN_2 : 0.226353911499
ICD : 0.128438045883
LPD : 0.111649794335
SK : 0.111649794325
SDH : 0.209565659952
FUMA : 0.209565659952
MQO : 2.79643931968
MDH : 2.51112473232
ACEA : 0.0979158656168
ACEB : 0.0979158656168
ACEK_1 : 0.00170794106675
ACEK_2 : 0.00170794106675
EDD : 0.0163588064972
EDA : 0.0163588064972
NADH_req : 0.377639806275
PNT_req : -0.0507762511618
ADK : 0.0259822080379
ATP_syn : 1.76723270501
CYA : 0.00764123610198
DOS : 0.00764123610198
ACK : 0.018326950404
ACS : 0.0183259142079
PTA : 0.018326950404
PTS_0 : 0.23
PTS_1 : 0.23
PTS_2 : 0.23
PTS_3 : 0.23
PTS_4 : 0.23
GLC_feed : 0.23
CYTBO : 0.70194521714
SQR : 0.209565659952
NDHII : 0.531370380692
GROWTH : 2.7521723849e-05
ATP_MAINTENANCE : 1.25544520689
XCH_GLC : 0.23
PIT : 0.0571901421582
XCH_P : 0.0571901421582
XCH_ACE1 : 1.03619611278e-06
_ACE_OUT : 1.03619611278e-06
XCH_ACE2 : 1.03619611278e-06
GL6P_HYDROLYSIS : 3.12106678386e-08
