,minimum,maximum
DM_4CRSOL,2.24241186526229e-06,4.5754856206879555e-06
DM_5DRIB,2.24241186526229e-06,0.030363477860439206
DM_AACALD,0.0,0.0
DM_AMOB,0.0,4.103574547820825e-08
DM_MTHTHF,4.48482373052458e-06,0.04997473706889325
DM_OXAM,0.0,0.2111556894237237
Ec_biomass_iJO1366_WT_53p95M,0.0,0.010462214149506361
Ec_biomass_iJO1366_core_53p95M,0.010055658588620136,0.020111317177092965
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0.0,0.1885216906191148
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0.0,0.18611710130802983
EX_14glucan_LPAREN_e_RPAREN_,0.0,0.0
EX_15dap_LPAREN_e_RPAREN_,0.0,0.10684160101607146
EX_23camp_LPAREN_e_RPAREN_,0.0,0.0
EX_23ccmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cump_LPAREN_e_RPAREN_,0.0,0.0
EX_23dappa_LPAREN_e_RPAREN_,0.0,0.0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0.0,0.0
EX_2ddglcn_LPAREN_e_RPAREN_,0.0,0.0
EX_34dhpac_LPAREN_e_RPAREN_,0.0,0.0
EX_3amp_LPAREN_e_RPAREN_,0.0,0.0
EX_3cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3gmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3hcinnm_LPAREN_e_RPAREN_,0.0,0.0
EX_3hpp_LPAREN_e_RPAREN_,0.0,0.17155385947115828
EX_3hpppn_LPAREN_e_RPAREN_,0.0,0.0
EX_3ump_LPAREN_e_RPAREN_,0.0,0.0
EX_4abut_LPAREN_e_RPAREN_,0.0,0.17315528874144093
EX_4hoxpacd_LPAREN_e_RPAREN_,0.0,0.0
EX_5dglcn_LPAREN_e_RPAREN_,0.0,0.14795370389220833
EX_5mtr_LPAREN_e_RPAREN_,0.0,0.037424741598418264
EX_LalaDglu_LPAREN_e_RPAREN_,0.0,0.0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0.0,0.044981953434849724
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0.0,0.038575740755853974
EX_LalaLglu_LPAREN_e_RPAREN_,0.0,-5.001208611916918e-19
EX_ac_LPAREN_e_RPAREN_,-1.35e-15,3.12e-11
EX_acac_LPAREN_e_RPAREN_,0.0,0.0
EX_acald_LPAREN_e_RPAREN_,0.0,0.3326849713191546
EX_acgal_LPAREN_e_RPAREN_,0.0,0.0
EX_acgal1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acmana_LPAREN_e_RPAREN_,0.0,0.0
EX_acmum_LPAREN_e_RPAREN_,0.0,0.0
EX_acnam_LPAREN_e_RPAREN_,0.0,0.0
EX_acolipa_LPAREN_e_RPAREN_,0.0,0.0024250000006995425
EX_acser_LPAREN_e_RPAREN_,0.0,0.1654419001960574
EX_ade_LPAREN_e_RPAREN_,0.0,0.12711751426661247
EX_adn_LPAREN_e_RPAREN_,0.0,0.04997025224520257
EX_adocbl_LPAREN_e_RPAREN_,0.0,0.0
EX_ag_LPAREN_e_RPAREN_,0.0,0.0
EX_agm_LPAREN_e_RPAREN_,0.0,0.08984462929580271
EX_akg_LPAREN_e_RPAREN_,0.0,0.18574840064604406
EX_ala_DASH_B_LPAREN_e_RPAREN_,0.0,0.0
EX_ala_DASH_D_LPAREN_e_RPAREN_,0.0,0.12090790169797486
EX_ala_DASH_L_LPAREN_e_RPAREN_,0.0,0.2797672597178007
EX_alaala_LPAREN_e_RPAREN_,0.0,0.06039852974801533
EX_all_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_alltn_LPAREN_e_RPAREN_,0.0,0.1793611811261066
EX_amp_LPAREN_e_RPAREN_,0.0,0.0
EX_anhgm_LPAREN_e_RPAREN_,0.0,0.03666774980399254
EX_arab_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_arbt_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0.0,0.0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0.0,0.08984462929583968
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_asn_DASH_L_LPAREN_e_RPAREN_,0.0,0.24144617258424808
EX_aso3_LPAREN_e_RPAREN_,0.0,0.0
EX_asp_DASH_L_LPAREN_e_RPAREN_,0.0,0.2600324179662721
EX_btn_LPAREN_e_RPAREN_,-4.103574547655905e-08,0.0
EX_but_LPAREN_e_RPAREN_,0.0,0.0
EX_butso3_LPAREN_e_RPAREN_,0.0,0.0
EX_ca2_LPAREN_e_RPAREN_,-0.00010467940590754021,-5.233970296103507e-05
EX_cbi_LPAREN_e_RPAREN_,0.0,0.0
