,minimum,maximum
DM_4CRSOL,4.4848237305244745e-06,4.484823730895443e-06
DM_5DRIB,4.525046364878954e-06,0.00719189250279923
DM_AACALD,0.0,0.0
DM_AMOB,4.022263435447959e-08,4.022263435377607e-08
DM_MTHTHF,9.009870095403206e-06,0.031041325962339293
DM_OXAM,0.0,0.059480996812963594
Ec_biomass_iJO1366_WT_53p95M,0.0,-3.505051684431634e-13
Ec_biomass_iJO1366_core_53p95M,0.020111317177239796,0.020111317176914757
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0.0,0.04453981702111084
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0.0,0.04388481971197778
EX_14glucan_LPAREN_e_RPAREN_,0.0,0.0
EX_15dap_LPAREN_e_RPAREN_,0.0,0.02530141463675912
EX_23camp_LPAREN_e_RPAREN_,0.0,0.0
EX_23ccmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_23cump_LPAREN_e_RPAREN_,0.0,0.0
EX_23dappa_LPAREN_e_RPAREN_,0.0,0.0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0.0,0.0
EX_2ddglcn_LPAREN_e_RPAREN_,0.0,0.0
EX_34dhpac_LPAREN_e_RPAREN_,0.0,0.0
EX_3amp_LPAREN_e_RPAREN_,0.0,0.0
EX_3cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3gmp_LPAREN_e_RPAREN_,0.0,0.0
EX_3hcinnm_LPAREN_e_RPAREN_,0.0,0.0
EX_3hpp_LPAREN_e_RPAREN_,0.0,0.04114955347516876
EX_3hpppn_LPAREN_e_RPAREN_,0.0,0.0
EX_3ump_LPAREN_e_RPAREN_,0.0,0.0
EX_4abut_LPAREN_e_RPAREN_,0.0,0.04366891389197069
EX_4hoxpacd_LPAREN_e_RPAREN_,0.0,0.0
EX_5dglcn_LPAREN_e_RPAREN_,0.0,0.0348167900040768
EX_5mtr_LPAREN_e_RPAREN_,0.0,0.00888400798633537
EX_LalaDglu_LPAREN_e_RPAREN_,0.0,0.0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0.0,0.010600451142930947
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0.0,0.009077840887855411
EX_LalaLglu_LPAREN_e_RPAREN_,0.0,0.0
EX_ac_LPAREN_e_RPAREN_,-1.35e-15,3.12e-11
EX_acac_LPAREN_e_RPAREN_,0.0,0.0
EX_acald_LPAREN_e_RPAREN_,0.0,0.08035106288292916
EX_acgal_LPAREN_e_RPAREN_,0.0,0.0
EX_acgal1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam_LPAREN_e_RPAREN_,0.0,0.0
EX_acgam1p_LPAREN_e_RPAREN_,0.0,0.0
EX_acmana_LPAREN_e_RPAREN_,0.0,0.0
EX_acmum_LPAREN_e_RPAREN_,0.0,0.0
EX_acnam_LPAREN_e_RPAREN_,0.0,0.0
EX_acolipa_LPAREN_e_RPAREN_,0.0,-5.935148206237522e-13
EX_acser_LPAREN_e_RPAREN_,0.0,0.0401566688068671
EX_ade_LPAREN_e_RPAREN_,0.0,0.03328676681352063
EX_adn_LPAREN_e_RPAREN_,0.0,0.01694380176957111
EX_adocbl_LPAREN_e_RPAREN_,-3.091105339465887e-19,0.0
EX_ag_LPAREN_e_RPAREN_,0.0,0.0
EX_agm_LPAREN_e_RPAREN_,0.0,0.028476116860172235
EX_akg_LPAREN_e_RPAREN_,0.0,0.04873752995145823
EX_ala_DASH_B_LPAREN_e_RPAREN_,0.0,0.0
EX_ala_DASH_D_LPAREN_e_RPAREN_,0.0,0.04547641942758034
EX_ala_DASH_L_LPAREN_e_RPAREN_,0.0,0.06598430602241478
EX_alaala_LPAREN_e_RPAREN_,0.0,0.02269457501592676
EX_all_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_alltn_LPAREN_e_RPAREN_,0.0,0.04783134025212253
EX_amp_LPAREN_e_RPAREN_,0.0,0.0
EX_anhgm_LPAREN_e_RPAREN_,0.0,0.008617360368040266
EX_arab_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_arbt_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_LPAREN_e_RPAREN_,0.0,0.0
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0.0,0.0
EX_arg_DASH_L_LPAREN_e_RPAREN_,0.0,0.028207980165684595
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_asn_DASH_L_LPAREN_e_RPAREN_,0.0,0.05805595917862097
EX_aso3_LPAREN_e_RPAREN_,0.0,0.0
EX_asp_DASH_L_LPAREN_e_RPAREN_,0.0,0.06293461121043795
EX_btn_LPAREN_e_RPAREN_,0.0,0.0
EX_but_LPAREN_e_RPAREN_,0.0,0.0
EX_butso3_LPAREN_e_RPAREN_,0.0,0.0
EX_ca2_LPAREN_e_RPAREN_,-0.00010467940590754003,-0.00010467940592207015
EX_cbi_LPAREN_e_RPAREN_,0.0,0.0
EX_cbl1_LPAREN_e_RPAREN_,-3.091105339465887e-19,0.0
EX_cd2_LPAREN_e_RPAREN_,0.0,0.0
EX_cgly_LPAREN_e_RPAREN_,0.0,0.022044471456820945
EX_chol_LPAREN_e_RPAREN_,0.0,0.0
EX_chtbs_LPAREN_e_RPAREN_,0.0,0.0
EX_cit_LPAREN_e_RPAREN_,0.0,0.04126291313520635
EX_cl_LPAREN_e_RPAREN_,-0.00010467940590754001,-0.00010467940590753315
EX_cm_LPAREN_e_RPAREN_,0.0,0.0
EX_cmp_LPAREN_e_RPAREN_,0.0,0.0
EX_co2_LPAREN_e_RPAREN_,0.19939942407758898,0.5544643375509126
EX_cobalt2_LPAREN_e_RPAREN_,-5.027829294310237e-07,-5.027829294309949e-07
EX_colipa_LPAREN_e_RPAREN_,0.0,-1.735314858303983e-13
EX_colipap_LPAREN_e_RPAREN_,0.0,-1.1568765722026556e-13
EX_cpgn_LPAREN_e_RPAREN_,0.0,0.0
EX_cpgn_DASH_un_LPAREN_e_RPAREN_,0.0,0.0
EX_crn_LPAREN_e_RPAREN_,0.0,0.0
EX_crn_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_csn_LPAREN_e_RPAREN_,0.0,0.0
EX_cu_LPAREN_e_RPAREN_,0.0,0.0
EX_cu2_LPAREN_e_RPAREN_,-1.4258923878663829e-05,-1.4258923878663015e-05
EX_cyan_LPAREN_e_RPAREN_,0.0,0.0
EX_cynt_LPAREN_e_RPAREN_,0.0,0.0
EX_cys_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_cys_DASH_L_LPAREN_e_RPAREN_,0.0,0.032491187566333714
EX_cytd_LPAREN_e_RPAREN_,0.0,0.02024806227643694
EX_dad_DASH_2_LPAREN_e_RPAREN_,0.0,0.0
EX_damp_LPAREN_e_RPAREN_,0.0,0.0
EX_dca_LPAREN_e_RPAREN_,0.0,0.0
EX_dcmp_LPAREN_e_RPAREN_,0.0,0.0
EX_dcyt_LPAREN_e_RPAREN_,0.0,0.0
EX_ddca_LPAREN_e_RPAREN_,0.0,0.0
EX_dgmp_LPAREN_e_RPAREN_,0.0,0.0
EX_dgsn_LPAREN_e_RPAREN_,0.0,0.0
EX_dha_LPAREN_e_RPAREN_,0.0,0.06067325157825387
EX_dimp_LPAREN_e_RPAREN_,0.0,0.0
EX_din_LPAREN_e_RPAREN_,0.0,0.0
EX_dms_LPAREN_e_RPAREN_,0.0,0.0
EX_dmso_LPAREN_e_RPAREN_,0.0,0.0
EX_dopa_LPAREN_e_RPAREN_,0.0,0.0
EX_doxrbcn_LPAREN_e_RPAREN_,0.0,0.0
EX_dtmp_LPAREN_e_RPAREN_,0.0,0.0
EX_dump_LPAREN_e_RPAREN_,0.0,0.0
EX_duri_LPAREN_e_RPAREN_,0.0,0.0
EX_eca4colipa_LPAREN_e_RPAREN_,0.0,1.7514066397313177e-14
EX_enlipa_LPAREN_e_RPAREN_,0.0,7.005626558925204e-14
EX_enter_LPAREN_e_RPAREN_,0.0,0.005685814016559062
EX_etha_LPAREN_e_RPAREN_,0.0,0.04247127609609058
EX_ethso3_LPAREN_e_RPAREN_,0.0,0.0
EX_etoh_LPAREN_e_RPAREN_,0.0,0.06756793925148105
EX_f6p_LPAREN_e_RPAREN_,0.0,0.0
EX_fald_LPAREN_e_RPAREN_,0.0,0.0
EX_fe2_LPAREN_e_RPAREN_,-1000.0,0.29937714090658574
EX_fe3_LPAREN_e_RPAREN_,-0.29969714480463794,999.9996769921339
EX_fe3dcit_LPAREN_e_RPAREN_,0.0,0.0
EX_fe3dhbzs_LPAREN_e_RPAREN_,0.0,0.0
EX_fe3hox_LPAREN_e_RPAREN_,0.0,0.0
EX_fe3hox_DASH_un_LPAREN_e_RPAREN_,0.0,0.0
EX_fecrm_LPAREN_e_RPAREN_,0.0,0.0
EX_fecrm_DASH_un_LPAREN_e_RPAREN_,0.0,0.0
EX_feenter_LPAREN_e_RPAREN_,0.0,0.005685814016311428
EX_feoxam_LPAREN_e_RPAREN_,0.0,0.0
EX_feoxam_DASH_un_LPAREN_e_RPAREN_,0.0,0.0
EX_for_LPAREN_e_RPAREN_,0.0,0.35506685966493984
EX_fru_LPAREN_e_RPAREN_,0.0,0.0
EX_frulys_LPAREN_e_RPAREN_,0.0,0.0
EX_fruur_LPAREN_e_RPAREN_,0.0,0.0
EX_fuc_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_fum_LPAREN_e_RPAREN_,0.0,0.0
EX_fusa_LPAREN_e_RPAREN_,0.0,0.0
EX_g1p_LPAREN_e_RPAREN_,0.0,0.0
EX_g3pc_LPAREN_e_RPAREN_,0.0,0.0
EX_g3pe_LPAREN_e_RPAREN_,0.0,-1.3155832852944637e-12
EX_g3pg_LPAREN_e_RPAREN_,0.0,-1.3155832852944604e-12
EX_g3pi_LPAREN_e_RPAREN_,0.0,3.0292258760486755e-28
EX_g3ps_LPAREN_e_RPAREN_,0.0,0.0
EX_g6p_LPAREN_e_RPAREN_,0.0,0.0
EX_gal_LPAREN_e_RPAREN_,0.0,0.0
EX_gal_DASH_bD_LPAREN_e_RPAREN_,0.0,0.0
EX_gal1p_LPAREN_e_RPAREN_,0.0,0.0
EX_galct_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_galctn_DASH_D_LPAREN_e_RPAREN_,0.0,0.0
EX_galctn_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_galt_LPAREN_e_RPAREN_,0.0,0.0
EX_galur_LPAREN_e_RPAREN_,0.0,0.0
EX_gam_LPAREN_e_RPAREN_,0.0,0.0
EX_gam6p_LPAREN_e_RPAREN_,0.0,0.0
EX_gbbtn_LPAREN_e_RPAREN_,0.0,0.0
EX_gdp_LPAREN_e_RPAREN_,0.0,0.0
EX_glc_LPAREN_e_RPAREN_,-0.23,-0.23
EX_glcn_LPAREN_e_RPAREN_,0.0,0.03196762717469024
EX_glcr_LPAREN_e_RPAREN_,0.0,0.0
EX_glcur_LPAREN_e_RPAREN_,0.0,0.0
EX_glcur1p_LPAREN_e_RPAREN_,0.0,0.0
EX_gln_DASH_L_LPAREN_e_RPAREN_,0.0,0.0
EX_glu_DASH_L_LPAREN_e_RPAREN_,0.0,0.04304148697724486
EX_gly_LPAREN_e_RPAREN_,0.0,0.09947225801420245
EX_glyald_LPAREN_e_RPAREN_,0.0,0.05505535791352576
EX_glyb_LPAREN_e_RPAREN_,0.0,0.0
EX_glyc_LPAREN_e_RPAREN_,0.0,0.048737529956235884
EX_glyc_DASH_R_LPAREN_e_RPAREN_,0.0,0.06593025109732222
EX_glyc2p_LPAREN_e_RPAREN_,0.0,0.0
EX_glyc3p_LPAREN_e_RPAREN_,0.0,-3.082846478097432e-13
