"","Reaction","LowerBound","UpperBound"
"1","EX_ca2_LPAREN_e_RPAREN_",-0.0001046794,0
"2","EX_cbl1_LPAREN_e_RPAREN_",-4.66614750997728e-06,0
"3","EX_cl_LPAREN_e_RPAREN_",-0.0001046794,0
"4","EX_co2_LPAREN_e_RPAREN_",-0.8513398955,1.38
"5","EX_cu2_LPAREN_e_RPAREN_",-1.42589238786888e-05,0
"6","EX_fe2_LPAREN_e_RPAREN_",-1000,1.9096037879
"7","EX_fe3_LPAREN_e_RPAREN_",-1.9096037879,1000
"8","EX_glc_LPAREN_e_RPAREN_",-0.23,-0.23
"9","EX_h_LPAREN_e_RPAREN_",-1000,2.3724316481
"10","EX_h2o_LPAREN_e_RPAREN_",-0.8511938955,502.552261387
"11","EX_k_LPAREN_e_RPAREN_",-0.0039255883,0
"12","EX_mg2_LPAREN_e_RPAREN_",-0.0001744657,0
"13","EX_mn2_LPAREN_e_RPAREN_",-1.3896920169019e-05,0
"14","EX_mobd_LPAREN_e_RPAREN_",-2.86664667694608e-06,0
"15","EX_nh4_LPAREN_e_RPAREN_",-1.2116531922,-2.92255959710551e-14
"16","EX_ni2_LPAREN_e_RPAREN_",-6.496e-06,0
"17","EX_o2_LPAREN_e_RPAREN_",-251.38,3.4226487642264e-13
"18","EX_pi_LPAREN_e_RPAREN_",-0.0194,-5.05964966826124e-13
"19","EX_so4_LPAREN_e_RPAREN_",-0.46072644,0
"20","EX_zn2_LPAREN_e_RPAREN_",-6.858e-06,0
"21","12PPDRtex",-0.3301117037,0
"22","12PPDRtpp",-0.3301117037,0
"23","12PPDStex",-0.326379244,0
"24","12PPDStpp",-0.326379244,0
"25","3HPPtex",-0.2951618703,0
"26","3PEPTtex",-0.0630196756,0
"27","4PEPTtex",-0.0582685479,0
"28","5DGLCNR",-0.23,0
"29","5DGLCNt2rpp",-0.23,0
"30","5DGLCNtex",-0.23,0
"31","5MTRtex",-0.0478513872,0
"32","ABUTtex",-0.2178542628,0
"33","ACACT1r",-0.2026449734,0.1725
"34","ACACT2r",-0.2026449734,0.1725
"35","ACACT3r",-0.2026449734,0.0581124586
"36","ACACT4r",-0.4179111706,0.0581124586
"37","ACACT5r",-0.6471832241,0.0581124586
"38","ACACT6r",-0.6471832225,0.0186612936
"39","ACACT7r",-0.6471832241,0.0093306468
"40","ACACT8r",-0.0010174713,0.6471832271
"41","ACALD",-0.6438490581,8.5526455921
"42","ACALDtex",-0.5491602163,0
"43","ACALDtpp",-0.5491602163,0
"44","ACKr",-0.0702811486,4.27061589169374e-16
"45","ACOAD1f",-0.1725,0.2026449742
"46","ACOAD2f",-0.1725,0.2026449742
"47","ACOAD3f",-0.0581124585,0.2026449742
"48","ACOAD4f",-0.0581124585,0.4179111725
"49","ACOAD5f",-0.0581124585,0.6471832255
"50","ACOAD6f",-0.0186612936,0.6471832255
"51","ACOAD7f",-0.0035556463,0.6471832255
"52","ACOATA",-3.3497762878,0.2026449742
"53","ACOTA",-0.0957027744,2.58143367841879e-13
"54","ACSERtex",-0.2822844264,0
"55","ADEt2rpp",-0.1865530755,0
"56","ADEtex",-0.1865530755,0
"57","ADK1",-8.22985771937749e-06,0.0955831737
"58","ADK3",-1000,3.4221148169
"59","ADK4",-3.3497762878,0
"60","ADNt2rpp",-1000,0
"61","ADNtex",-0.0608574333,0
"62","AGMtex",-0.0957027744,0
"63","AGPR",-0.0957027744,0
"64","AIRC3",-0.3435460296,0
"65","AKGt2rpp",-0.2178542628,0
"66","AKGtex",-0.2178542628,0
"67","ALAALAtex",-0.0845642758,0
"68","ALATA_L",-1000,1000
"69","ALAt2rpp",-1000,0
"70","ALAtex",-0.46,0
"71","ALCD19",-0.23,0
"72","ALCD2x",-0.46,0
"73","ALLTNt2rpp",-0.2989226201,0
"74","ALLTNtex",-0.2989226201,0
"75","ANHGMtex",-0.0646726494,1.61131563338992e-13
"76","ARBt2rpp",-3.3497762878,7.39086768
"77","ARGAGMt7pp",-0.0957027744,0.0957027744
"78","ARGtex",-0.0957027744,0
"79","ASAD",-0.7209691656,0
"80","ASNt2rpp",-3.3497762878,0
"81","ASNtex",-0.4182179432,0
"82","ASPTA",-0.7564115502,-3.84460767133632e-13
"83","ASPt2rpp",-1000,3.3497763078
"84","ASPtex",-0.4373863298,0
"85","ATHRDHr",-8.6004969693,0
"86","ATPM",-0.0005159992,2.9775857944
"87","ATPS4rpp",1.88546988594034e-06,2.6752444551
"88","CAt6pp",-1000,0
"89","CBMKr",-1.6748881439,0.4685420049
"90","CGLYtex",-0.0957027744,0
"91","CITtex",-0.2763326747,0
"92","CO2tex",-1.38,0.8513398975
"93","CO2tpp",-1.38,1.380584
"94","CRNDt2rpp",-3.3497762878,1000
"95","CRNt2rpp",-1000,0
"96","CTBTt2rpp",-3.3497762878,0
"97","CTECOAI6",-0.6471832241,0.3688982239
"98","CTECOAI7",-0.6471832241,0.6471832272
"99","CTECOAI8",-0.0010174712,0.6471832271
"100","CYStex",-0.0957027744,0
"101","CYTDt2rpp",-1000,0
"102","CYTDtex",-0.0608574333,0
"103","CYTK1",-1.1165920959,3.3497763078
"104","CYTK2",-0.0608574333,3.3497763078
"105","D_DASH_LACt2pp",-0.46,0
"106","D_DASH_LACtex",-0.46,0
"107","DADK",-0.0608574333,3.3497763078
"108","DALAtex",-0.1691285516,0
"109","DAPtex",-0.1865749277,0
"110","DGK1",-0.0608574333,3.3497763078
"111","DHAtex",-0.23,0
"112","DHAtpp",-0.23,0
"113","DHORTS",-0.4182179432,0
"114","DSERDHr",-0.6751452032,0
"115","DURIPP",-0.2626276679,0.0608574333
"116","ECOAH1",-0.2026449734,0.1725
"117","ECOAH2",-0.2026449734,0.1725
"118","ECOAH3",-0.2026449734,0.0581124586
"119","ECOAH4",-0.4179111706,0.0581124586
"120","ECOAH5",-0.6471832241,0.0581124586
"121","ECOAH6",-0.6471832241,0.0186612936
"122","ECOAH7",-0.6471832241,0.0093306468
"123","ECOAH8",-0.6471832241,0.0010174713
"124","ETHAtex",-0.3110260872,0
"125","ETOHtex",-0.46,0
"126","ETOHtrpp",-0.46,0
"127","F6PA",-0.2927694927,0.23
"128","FE2tex",-1.9096037879,1000
"129","FE3tex",-1000,1.9096037973
"130","FORtex",-2.2311938955,0
"131","G3PD2",-2.3786640345,2.95822839457879e-31
"132","G3PEtex",-0.0194,0
"133","G3PGtex",-0.0194,0
"134","GARFT",-3.3497762878,0.343546031
"135","GHMT2r",-0.3308748294,0.6046131674
"136","GLCNtex",-0.23,0
