Reaction,LowerBound,UpperBound,width,iswidthzero,arebothboundszero,isnotreversible
DM_4CRSOL,0,4.66614751061666E-06,4.66614751061666E-06,0,0,1
DM_5DRIB,0,0.0510442644,0.0510442644,0,0,1
DM_AACALD,0,0,0,1,1,1
DM_AMOB,-9.71753453044461E-15,1.33085835273542E-08,1.33085932448887E-08,0,0,0
DM_MTHTHF,-1.63334429610359E-13,0.0608574333,0.0608574333,0,0,0
DM_OXAM,0,0.3274559067,0.3274559067,0,0,1
Ec_biomass_iJO1366_WT_53p95M,0,0.0209244283,0.0209244283,0,0,1
Ec_biomass_iJO1366_core_53p95M,0,0.0201113172,0.0201113172,0,0,1
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,0,0.3301117037,0.3301117037,0,0,1
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0,0.326379244,0.326379244,0,0,1
EX_14glucan_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_15dap_LPAREN_e_RPAREN_,0,0.1865749277,0.1865749277,0,0,1
EX_23camp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_23ccmp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_23cgmp_LPAREN_e_RPAREN_,0,3.00214076533883E-14,3.00214076533883E-14,0,0,1
EX_23cump_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_23dappa_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_2ddglcn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_34dhpac_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_3amp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_3cmp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_3gmp_LPAREN_e_RPAREN_,0,5.68434188608079E-14,5.68434188608079E-14,0,0,1
EX_3hcinnm_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_3hpp_LPAREN_e_RPAREN_,0,0.2951618703,0.2951618703,0,0,1
EX_3hpppn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_3ump_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_4abut_LPAREN_e_RPAREN_,0,0.2178542628,0.2178542628,0,0,1
EX_4hoxpacd_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_5dglcn_LPAREN_e_RPAREN_,0,0.23,0.23,0,0,1
EX_5mtr_LPAREN_e_RPAREN_,0,0.0478513872,0.0478513872,0,0,1
EX_LalaDglu_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0,0.0630196756,0.0630196756,0,0,1
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0,0.0582685479,0.0582685479,0,0,1
EX_LalaLglu_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ac_LPAREN_e_RPAREN_,-1.35E-15,3.12E-11,3.120135E-11,0,0,0
EX_acac_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_acald_LPAREN_e_RPAREN_,0,0.5491602163,0.5491602163,0,0,1
EX_acgal_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_acgal1p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_acgam_LPAREN_e_RPAREN_,0,2.52435489670723E-28,2.52435489670723E-28,0,0,1
EX_acgam1p_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_acmana_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_acmum_LPAREN_e_RPAREN_,0,-4.00593428432545E-30,-4.00593428432545E-30,0,0,1
EX_acnam_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_acolipa_LPAREN_e_RPAREN_,0,0.00485,0.00485,0,0,1
EX_acser_LPAREN_e_RPAREN_,0,0.2822844264,0.2822844264,0,0,1
EX_ade_LPAREN_e_RPAREN_,0,0.1865530755,0.1865530755,0,0,1
EX_adn_LPAREN_e_RPAREN_,0,0.0608574333,0.0608574333,0,0,1
EX_adocbl_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ag_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_agm_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_akg_LPAREN_e_RPAREN_,0,0.2178542628,0.2178542628,0,0,1
EX_ala_DASH_B_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_ala_DASH_D_LPAREN_e_RPAREN_,0,0.1691285516,0.1691285516,0,0,1
EX_ala_DASH_L_LPAREN_e_RPAREN_,0,0.46,0.46,0,0,1
EX_alaala_LPAREN_e_RPAREN_,0,0.0845642758,0.0845642758,0,0,1
EX_all_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_alltn_LPAREN_e_RPAREN_,0,0.2989226201,0.2989226201,0,0,1
EX_amp_LPAREN_e_RPAREN_,0,-3.52147508090659E-27,-3.52147508090659E-27,0,0,1
EX_anhgm_LPAREN_e_RPAREN_,0,0.0646726494,0.0646726494,0,0,1
EX_arab_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_arbt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_arbtn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_arg_DASH_L_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_ascb_DASH_L_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_asn_DASH_L_LPAREN_e_RPAREN_,0,0.4182179432,0.4182179432,0,0,1
EX_aso3_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_asp_DASH_L_LPAREN_e_RPAREN_,0,0.4373863298,0.4373863298,0,0,1
EX_btn_LPAREN_e_RPAREN_,0,-8.97548407718147E-29,-8.97548407718147E-29,0,0,1
EX_but_LPAREN_e_RPAREN_,0,-4.16518557956683E-28,-4.16518557956683E-28,0,0,1
EX_butso3_LPAREN_e_RPAREN_,0,-3.02922587604861E-28,-3.02922587604861E-28,0,0,1
EX_ca2_LPAREN_e_RPAREN_,-0.0001046794,0,0.0001046794,0,0,1
EX_cbi_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cbl1_LPAREN_e_RPAREN_,-4.66614750997728E-06,0,4.66614750997728E-06,0,0,1
EX_cd2_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cgly_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_chol_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_chtbs_LPAREN_e_RPAREN_,0,6.05845175209737E-28,6.05845175209737E-28,0,0,1
EX_cit_LPAREN_e_RPAREN_,0,0.2763326747,0.2763326747,0,0,1
EX_cl_LPAREN_e_RPAREN_,-0.0001046794,0,0.0001046794,0,0,1
EX_cm_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cmp_LPAREN_e_RPAREN_,0,-2.10362908058939E-29,-2.10362908058939E-29,0,0,1
EX_co2_LPAREN_e_RPAREN_,-0.8513398955,1.38,2.2313398955,0,0,0
EX_cobalt2_LPAREN_e_RPAREN_,-5.02782929426011E-07,0,5.02782929426011E-07,0,0,1
EX_colipa_LPAREN_e_RPAREN_,0,0.00485,0.00485,0,0,1
EX_colipap_LPAREN_e_RPAREN_,0,0.0032333333,0.0032333333,0,0,1
EX_cpgn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cpgn_DASH_un_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_crn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_crn_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_csn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cu_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cu2_LPAREN_e_RPAREN_,-1.42589238786888E-05,0,1.42589238786888E-05,0,0,1
EX_cyan_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cynt_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cys_DASH_D_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_cys_DASH_L_LPAREN_e_RPAREN_,0,0.0957027744,0.0957027744,0,0,1
EX_cytd_LPAREN_e_RPAREN_,0,0.0608574333,0.0608574333,0,0,1
EX_dad_DASH_2_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_damp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dca_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dcmp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dcyt_LPAREN_e_RPAREN_,0,3.15544362088406E-30,3.15544362088406E-30,0,0,1
EX_ddca_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dgmp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dgsn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dha_LPAREN_e_RPAREN_,0,0.23,0.23,0,0,1
EX_dimp_LPAREN_e_RPAREN_,0,-5.17492753824983E-28,-5.17492753824983E-28,0,0,1
EX_din_LPAREN_e_RPAREN_,0,-6.28396438103434E-20,-6.28396438103434E-20,0,0,1
EX_dms_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dmso_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dopa_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_doxrbcn_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dtmp_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_dump_LPAREN_e_RPAREN_,0,0,0,1,1,1
EX_duri_LPAREN_e_RPAREN_,0,0,0,1,1,1
