"","reaction","DE1","DE2","DE3","DE4","DE5","DE6"
"1","ACEA","CITRA_SYN","GLT","ACEA","LPD","ATP_MAINTENANCE","PFK"
"2","ACEB","CITRA_SYN","GLT","ACEA","LPD","ATP_MAINTENANCE","PFK"
"3","ACK","CITRA_SYN","ACK","ATP_MAINTENANCE","PTA","GLT","ATP_syn"
"4","ACN_1","CITRA_SYN","GLT","ATP_MAINTENANCE","PFK","CYTBO","GDH"
"5","ACN_2","CITRA_SYN","GLT","ATP_MAINTENANCE","PFK","CYTBO","GDH"
"6","ACS","CITRA_SYN","ACK","ATP_MAINTENANCE","PTA","GLT","ATP_syn"
"7","ATP_MAINTENANCE","ATP_MAINTENANCE","CYTBO","PFK","GDH","NDHII","NADH_req"
"8","ATP_syn","ATP_MAINTENANCE","CYTBO","NADH_req","NDHII","PFK","GLT"
"9","CITRA_SYN","CITRA_SYN","ATP_MAINTENANCE","CYTBO","PFK","GLT","GDH"
"10","CYTBO","CYTBO","ATP_MAINTENANCE","GLT","CITRA_SYN","PFK","GDH"
"11","EDA","ATP_syn","ZWF","GND","EDD","ATP_MAINTENANCE","PYK"
"12","EDD","ATP_syn","ZWF","GND","EDD","ATP_MAINTENANCE","PYK"
"13","ENO","ATP_MAINTENANCE","PFK","CYTBO","GDH","ATP_syn","ZWF"
"14","FBA","PFK","ATP_MAINTENANCE","CYTBO","ATP_syn","ZWF","GDH"
"15","FBP","FBP","GDH","PFK","PYK","ATP_syn","ATP_MAINTENANCE"
"16","FUMA","CITRA_SYN","GLT","ATP_MAINTENANCE","PFK","CYTBO","GDH"
"17","GDH","PFK","CYTBO","ATP_MAINTENANCE","GDH","ATP_syn","ZWF"
"18","GLT","CITRA_SYN","GLT","ATP_MAINTENANCE","PFK","CYTBO","GDH"
"19","GND","ZWF","ATP_syn","PYK","PFK","ATP_MAINTENANCE","CYTBO"
"20","GPM","ATP_MAINTENANCE","PFK","CYTBO","GDH","ATP_syn","ZWF"
"21","GROWTH","CITRA_SYN","PYK","GLT","LPD","ATP_MAINTENANCE","ATP_syn"
"22","LPD","CITRA_SYN","GLT","ATP_MAINTENANCE","CYTBO","PFK","ACEA"
"23","MAD","MAD","ATP_MAINTENANCE","ATP_syn","CYTBO","MDH","MQO"
"24","MDH","MDH","CYTBO","ATP_MAINTENANCE","MQO","PFK","GDH"
"25","MQO","MDH","CYTBO","ATP_MAINTENANCE","MQO","PFK","GDH"
"26","NADH_req","NDHII","NADH_req","CYTBO","ATP_MAINTENANCE","PFK","GDH"
"27","NDHII","NDHII","NADH_req","CYTBO","ATP_MAINTENANCE","PFK","GDH"
"28","PCK","ATP_MAINTENANCE","ATP_syn","MDH","MQO","PPC","NADH_req"
"29","PDH","ATP_MAINTENANCE","PFK","CYTBO","CITRA_SYN","GLT","GDH"
"30","PFK","PFK","ATP_MAINTENANCE","CYTBO","ATP_syn","ZWF","GDH"
"31","PGI","PFK","ZWF","ATP_syn","ATP_MAINTENANCE","CYTBO","PYK"
"32","PGK","ATP_MAINTENANCE","PFK","CYTBO","GDH","ATP_syn","ZWF"
"33","PGL","ZWF","ATP_syn","PYK","ATP_MAINTENANCE","PFK","CYTBO"
"34","PIT","ATP_MAINTENANCE","ATP_syn","CITRA_SYN","PYK","GLT","LPD"
"35","PPC","ATP_MAINTENANCE","ATP_syn","PPC","MDH","MQO","NADH_req"
"36","PPS","PDH","PPS","CYTBO","ATP_syn","ATP_MAINTENANCE","NADH_req"
"37","PTA","CITRA_SYN","ACK","ATP_MAINTENANCE","PTA","GLT","ATP_syn"
"38","PYK","ATP_MAINTENANCE","PFK","MAD","PYK","CYTBO","ATP_syn"
"39","RPE","ZWF","ATP_syn","PYK","PFK","ATP_MAINTENANCE","CYTBO"
"40","RPI","ZWF","ATP_syn","PYK","PFK","ATP_MAINTENANCE","CYTBO"
"41","SDH","CITRA_SYN","GLT","ATP_MAINTENANCE","PFK","CYTBO","GDH"
"42","SK","CITRA_SYN","GLT","ATP_MAINTENANCE","CYTBO","PFK","ACEA"
"43","SQR","CITRA_SYN","GLT","ATP_MAINTENANCE","PFK","CYTBO","GDH"
"44","TPI","PFK","ATP_MAINTENANCE","CYTBO","ATP_syn","ZWF","GDH"
"45","XCH_ACE1","ACS","CITRA_SYN","ACK","ATP_MAINTENANCE","ATP_syn","PTA"
"46","XCH_ACE2","ACS","CITRA_SYN","ACK","ATP_MAINTENANCE","ATP_syn","PTA"
"47","XCH_GLC","CYTBO","PFK","ATP_MAINTENANCE","GDH","ATP_syn","XCH_GLC"
"48","XCH_P","ATP_MAINTENANCE","ATP_syn","CITRA_SYN","PYK","GLT","LPD"
"49","ZWF","ZWF","ATP_syn","PYK","ATP_MAINTENANCE","PFK","CYTBO"
